Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
cAMP-mediated signaling	3.55	0.246	-1.26	"ADCY2,ADCY3,ADCY5,ADRA2A,AKAP11,AKAP13,AKAP9,APEX1,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CHRM2,CNR1,CREB1,CREB3,CREB5,CREBBP,DRD2,DUSP9,FICD,GABBR2,GDPD1,GNAI2,GNAI3,GPR17,HTR1D,LHCGR,LPAR1,MAPK1,MPPED2,NAPEPLD,PALM2AKAP2,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PKIA,PKIB,PPP3R1,PRKACA,PRKACB,PRKAR2A,PRKAR2B,PTGIR,PTH1R,RAP1A,RGS18,STAT3,VIPR1"
HGF Signaling	3.53	0.288	-3.024	"AKT3,CCND1,CDC42,CDKN1A,ELF2,ETS1,ETS2,GAB1,ITGB1,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,PTGS2,PXN,RALA,RAP1A,RAP2B,SOS1,STAT3"
UVA-Induced MAPK Signaling	3.47	0.296	-0.688	"ATM,EGFR,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PARP10,PARP16,PARP6,PARP9,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,RALA,RAP1A,RAP2B,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6,RPS6KB2,RPS6KC1,TNKS,TNKS2"
Rac Signaling	3.46	0.286	-1.461	"ANK1,ARFIP2,ARPC4,ARPC5,CDC42,CDK5R1,CFL2,ELK4,ITGB1,LIMK1,MAPK1,MAPK8,MCF2L,NCF1,NOX1,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PIP4K2B,PIP5K1A,RALA,RAP1A,RAP2B,RHOA,SH3RF1,TIAM1"
ILK Signaling	3.43	0.253	-1.677	"ACTN4,AKT3,BMP2,CCND1,CDC42,CFL2,CREB1,CREB3,CREB5,CREBBP,CTNNB1,FERMT2,GSK3B,IRS1,ITGB1,ITGB8,MAP2K6,MAPK1,MAPK10,MAPK8,MUC1,MYH11,NACA,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PTEN,PTGS2,PXN,RHOA,RHOBTB2,RHOH,RICTOR,RND1,RPS6KA5,SNAI1,VCL,VEGFA"
Neurotrophin/TRK Signaling	3.42	0.316	-2.558	"BDNF,CDC42,CREB1,CREB3,CREB5,CREBBP,FRS2,GAB1,MAP2K6,MAPK1,MAPK8,NRAS,NTRK3,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOS1,SPRY1"
ErbB Signaling	3.42	0.298	-1.512	"CDC42,EGF,EGFR,ERBB3,ERBB4,GSK3B,HBEGF,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PAK2,PAK5,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,TGFA"
Huntington's Disease Signaling	3.36	0.241	0.174	"AKT3,ARFIP2,ATP5F1C,BDNF,CAPN10,CAPN8,CASP10,CASP5,CASP8,CDK5,CDK5R1,CLTA,CREB1,CREB3,CREB5,CREBBP,CTSD,EGF,EGFR,GNAQ,GNG10,GNG12,GNG13,GNG4,GOSR1,GRIN2B,GRM5,HDAC5,HDAC8,HIP1,HSPA9,MAPK1,MAPK8,NAPG,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,POLR2F,PRKCB,PRKD1,PSME3,RASA1,RCOR1,REST,RPS27A,SNAP25,SOS1,SP1,TAF4,TGM2,UBD,VTI1A"
Neuroinflammation Signaling Pathway	3.33	0.23	-1.921	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,APH1A,APP,BACE2,BDNF,BMPR2,CALB2,CASP8,CD200R1,CD86,CNTF,CREB1,CREB3,CREB5,CREBBP,CTNNB1,GABBR2,GABRA1,GABRB1,GABRB2,GABRB3,GAD1,GDNF,GLUL,GRIA1,GRIN2B,GRINA,GSK3B,HLA-DMB,HMGB1,IL12B,IRAK2,JAK2,KCNJ3,KCNJ6,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NCF1,NFAT5,NFATC2,NFATC3,NOX1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PPP3R1,PTGS2,SLC6A1,SYK,TGFBR3,TRAF3,VCAM1,WNT1,XIAP,ZBTB12"
IL-1 Signaling	3.29	0.297	0	"ADCY2,ADCY3,ADCY5,ECSIT,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,IRAK2,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,TOLLIP"
Cholecystokinin/Gastrin-mediated Signaling	3.29	0.277	-0.73	"CDC42,EGFR,EPHA4,GNA12,GNAQ,IL1F10,IL1RN,IL36RN,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,MEF2A,MEF2C,NRAS,PLCB1,PLCB4,PRKCB,PRKD1,PTGS2,PXN,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SOS1,SRF"
Superpathway of Inositol Phosphate Compounds	3.27	0.247	0.577	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,IP6K1,ITPKB,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PIP4K2B,PIP4P2,PIP5K1A,PLCB1,PLCB4,PLPP7,PPFIA1,PPFIA2,PPIP5K2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,SEC16A,STYX"
Pyridoxal 5'-phosphate Salvage Pathway	3.22	0.323	-2.837	"ACVR2A,CDK5,CDK6,CDK8,CSNK1A1,CSNK1D,DAPK1,DYRK1A,GRK6,LIMK1,MAK,MAP2K6,MAP3K9,MAPK1,MAPK6,MAPK8,PAK2,PAK5,PLK1,PRKAA2,PRPF4B"
Apelin Pancreas Signaling Pathway	3.21	0.364	0	"APLN,MAPK10,MAPK8,PDE3B,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
fMLP Signaling in Neutrophils	3.16	0.276	-1.89	"ARPC4,ARPC5,CALM1 (includes others),CDC42,GNAI2,GNAI3,GNG10,GNG12,GNG13,GNG4,MAPK1,NCF1,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NOX1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKCB,PRKD1,RALA,RAP1A,RAP2B"
Glucocorticoid Receptor Signaling	3.16	0.223	NaN	"AKT3,ARID2,CD247,CDKN1A,CREB1,CREBBP,CREBZF,ERCC2,ESR1,FGG,FOXO3,GTF2B,GTF2H1,GTF2H2,GTF2H5,HMGB1,HSPA9,IL1RN,JAK2,KRT32,KRT34,KRT40,KRT80,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,MED1,MED14,MNAT1,NCOA1,NCOA3,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NPPA,NRAS,PBRM1,PGR,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,POLR2F,POU2F1,POU2F2,PPP3R1,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PTGS2,RALA,RAP1A,RAP2B,SMAD2,SMAD3,SMARCD1,SOS1,STAT3,STAT5B,TAF10,TAF2,TAF3,TAF4,TAF7L,TSC22D3,UBE2I,VCAM1,VIPR1"
RANK Signaling in Osteoclasts	3.16	0.295	-3.128	"AKT3,CALM1 (includes others),CBL,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,MITF,NFATC2,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,TNFRSF11A,TNFSF11,XIAP"
BEX2 Signaling Pathway	3.15	0.304	-0.209	"AKT3,CCND1,CDH2,CDKN1A,CTNNB1,GSK3B,HNF1A,MAPK10,MAPK8,PLXNC1,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PTEN,STAT3,SWAP70,TCF4,TCF7,TCF7L1,VEGFA"
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.15	0.333	1.5	"ATM,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,PLK1,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RFC1,RPA1,TLK1,TLK2"
3-phosphoinositide Biosynthesis	3.15	0.255	1.093	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PIP4K2B,PIP5K1A,PLPP7,PPFIA1,PPFIA2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,STYX"
PTEN Signaling	3.14	0.27	0.898	"AKT3,BCL2L11,BMPR2,CBL,CCND1,CDC42,CDKN1A,CSNK2A1,EGFR,FOXO3,GHR,GSK3B,INSR,ITGB1,MAPK1,NRAS,NTRK3,OCRL,PDGFRA,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PREX2,PTEN,RALA,RAP1A,RAP2B,RPS6KB2,SOS1,TGFBR3,TNFRSF11A"
Calcium Signaling	3.12	0.243	-1.677	"ATP2B2,ATP2B4,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CHRFAM7A,CHRNA1,CHRNA10,CHRNA2,CHRNA7,CHRNB4,CREB1,CREB3,CREB5,CREBBP,GRIA1,GRIN2B,GRINA,HDAC5,HDAC8,MAPK1,MEF2A,MEF2C,MYH11,NFAT5,NFATC2,NFATC3,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RAP1A,RAP2B,SLC8A1,TNNI1,TPM2,TPM4,TRPC1"
HER-2 Signaling in Breast Cancer	3.11	0.298	NaN	"AKT3,CCND1,CCNE2,CDC42,CDK6,CDKN1A,EGF,EGFR,ERBB3,GSK3B,ITGB1,ITGB8,NRAS,PARD6G,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1"
Fc?RIIB Signaling in B Lymphocytes	3.11	0.307	-1.291	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CD79B,MAPK10,MAPK8,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SOS1,SYK"
Circadian Rhythm Signaling	3.08	0.394	NaN	"ADCYAP1,ADCYAP1R1,BHLHE40,CLOCK,CREB1,CREB3,CREB5,CREBBP,CSNK1D,GRIN2B,GRINA,PER1,PER2"
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.08	0.292	NaN	"AKT3,AP1G1,AP1S2,AP1S3,AP2B1,AP2M1,CD247,CD86,CLTA,JAK2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PTPN22,SYK,TRAT1,ZBTB12"
Chronic Myeloid Leukemia Signaling	3.08	0.282	NaN	"AKT3,CCND1,CDK6,CDKN1A,CRK,CTBP2,E2F1,E2F2,E2F3,E2F5,E2F7,GAB2,HDAC5,HDAC8,MAPK1,NRAS,PA2G4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RB1,SMAD3,SOS1,STAT5B"
P2Y Purigenic Receptor Signaling Pathway	3.07	0.268	-1.461	"ADCY2,ADCY3,ADCY5,AKT3,CREB1,CREB3,CREB5,CREBBP,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B"
Chemokine Signaling	3.06	0.3	0	"CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,GNAI2,GNAI3,GNAQ,LIMK1,MAPK1,MAPK14,MAPK8,MPRIP,NOX1,NRAS,PLCB1,PLCB4,PPP1CB,PRKCB,RALA,RAP1A,RAP2B,RHOA,ROCK2"
HIF1? Signaling	3.04	0.274	NaN	"AKT3,APEX1,ARNT,CREBBP,EDN1,EGLN2,LDHA,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,MMP14,MMP15,MMP16,MMP19,MMP24,NCOA1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SLC2A1,SLC2A2,SLC2A4,VEGFA"
Epithelial Adherens Junction Signaling	3.04	0.257	NaN	"ACTN4,ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,ARPC4,ARPC5,BMPR2,CDC42,CDH2,CRK,CTNNA2,CTNNB1,CTNND1,DLL1,EGF,EGFR,FGF1,HNF1A,KEAP1,LMO7,MYH11,NECTIN1,NOTCH4,NRAS,PTEN,RALA,RAP1A,RAP2B,RHOA,SNAI1,SSX2IP,TCF4,TCF7,TCF7L1,TGFBR3,TUBA4A,VCL"
Macropinocytosis Signaling	3.02	0.303	-1.807	"ACTN4,ANKFY1,ARF6,CDC42,CSF1,EGF,ITGB1,ITGB8,NRAS,PDGFA,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RHOA,USP6NL"
Clathrin-mediated Endocytosis Signaling	3	0.244	NaN	"AAK1,AP1G1,AP1S2,AP2B1,AP2M1,AP3M1,APOL1,ARF6,ARPC4,ARPC5,CBL,CD2AP,CDC42,CLTA,CSNK2A1,DAB2,EGF,EPS15,FGF1,FGF13,FGF17,FGF2,HIP1,HIP1R,ITGB1,ITGB8,LDLR,MYO1E,NUMB,PDGFA,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,RAB11A,RAB5B,RPS27A,SH3BP4,SH3GLB1,SH3GLB2,STON2,UBD,USP9X,VEGFA"
Melanoma Signaling	2.99	0.34	-1.291	"AKT3,CCND1,CDKN1A,E2F1,MAPK1,MITF,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RALA,RAP1A,RAP2B,RB1"
Estrogen-mediated S-phase Entry	2.98	0.423	-1.508	"CCNA2,CCND1,CCNE2,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,ESR1,RB1"
Melatonin Signaling	2.97	0.306	-2.4	"CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,GNAI2,GNAI3,GNAQ,MAP2K6,MAPK1,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RORA,RORB,SLC2A4"
FAT10 Cancer Signaling Pathway	2.96	0.348	-1	"ACKR3,ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,BMPR2,CTNNB1,EEF1A1,GSK3B,SMAD2,SMAD3,STAT3,TCF4,TGFBR3,UBD"
PDGF Signaling	2.95	0.291	-2.6	"ABL2,ACP1,CRK,CSNK2A1,JAK2,MAPK1,MAPK8,NRAS,OCRL,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,RALA,RAP1A,RAP2B,RASA1,SOS1,SRF,STAT3"
Synaptic Long Term Potentiation	2.94	0.264	-0.87	"CACNA1C,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB1,CREB3,CREB5,CREBBP,GNAQ,GRIA1,GRIN2B,GRINA,GRM5,MAPK1,NRAS,PLCB1,PLCB4,PPP1CB,PPP1CC,PPP1R1A,PPP1R3C,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B"
eNOS Signaling	2.92	0.252	-1.715	"ADCY2,ADCY3,ADCY5,AKT3,AQP1,AQP7,AQP9,CALM1 (includes others),CASP8,CCNA2,CHRM2,CHRNA1,CHRNA10,CHRNA2,CHRNA7,CHRNB4,ESR1,GNAQ,GUCY1A2,GUCY1B1,HSPA9,LPAR1,LPAR2,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1,VEGFA"
IL-8 Signaling	2.91	0.24	-1.808	"AKT3,ANGPT1,CCND1,CCND2,CDC42,EGF,EGFR,GNA12,GNAI2,GNAI3,GNG10,GNG12,GNG13,GNG4,HBEGF,IRAK2,LIMK1,MAP4K4,MAPK1,MAPK10,MAPK8,NAPEPLD,NCF1,NFKBIB,NOX1,NRAS,PAK2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLD5,PRKCB,PRKD1,PTGS2,RAB11FIP2,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,VCAM1,VEGFA"
Neuregulin Signaling	2.9	0.281	-0.408	"AKT3,CDK5,CDK5R1,CRK,EGF,EGFR,ERBB3,ERBB4,ERBIN,HBEGF,ITGB1,MAPK1,NRAS,PDPK1,PIK3R1,PIK3R3,PRKCB,PRKD1,PTEN,RALA,RAP1A,RAP2B,RPS6KB2,SOS1,STAT5B,TGFA,TMEFF2"
?-Adrenergic Signaling	2.9	0.281	-1.069	"ADCY2,ADCY3,ADCY5,ADRA2A,CALM1 (includes others),EPM2A,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,MAPK1,NRAS,PHKG2,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SLC8A1"
T Cell Exhaustion Signaling Pathway	2.88	0.246	-0.686	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,BCL6,BMPR2,BTLA,CD274,CD86,HLA-DMB,IL12B,IRF4,JAK2,MAPK1,MAPK10,MAPK8,NFAT5,NFATC2,NFATC3,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RALA,RAP1A,RAP2B,SMAD2,SMAD3,STAT3,STAT4,TCF7,TGFBR3,VEGFA"
PKC? Signaling in T Lymphocytes	2.87	0.252	-1.095	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CD247,CD86,HLA-DMB,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK8,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,POU2F1,PPP3R1,RALA,RAP1A,RAP2B,SOS1"
Semaphorin Signaling in Neurons	2.85	0.317	NaN	"CDC42,CDK5,CFL2,DPYSL2,DPYSL3,DPYSL4,DPYSL5,ITGB1,LIMK1,MAPK1,PAK2,PAK5,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SEMA7A"
Endometrial Cancer Signaling	2.85	0.317	-1.698	"AKT3,CCND1,CTNNA2,CTNNB1,FOXO3,GSK3B,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RALA,RAP1A,RAP2B,SOS1"
Estrogen-Dependent Breast Cancer Signaling	2.8	0.297	-1.789	"AKT3,CCND1,CREB1,CREB3,CREB5,CREBBP,EGFR,ESR1,HSD17B12,HSD17B7,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,SP1,STAT5B"
Signaling by Rho Family GTPases	2.8	0.23	-1.206	"ARFIP2,ARHGEF11,ARHGEF17,ARHGEF2,ARHGEF5,ARPC4,ARPC5,CDC42,CDH11,CDH13,CDH18,CDH2,CDH5,CFL2,CIT,DIAPH3,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,ITGB1,LIMK1,MAP3K12,MAP3K9,MAPK1,MAPK10,MAPK8,NCF1,NOX1,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PIP4K2B,PIP5K1A,PPP1R12C,RDX,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SEPTIN11,SEPTIN2,SEPTIN8,STMN1,WASF3"
Sphingosine-1-phosphate Signaling	2.77	0.265	-1.4	"ACER2,ADCY2,ADCY3,ADCY5,AKT3,ASAH2,ASAH2B,CASP10,CASP5,CASP8,CDC42,GNA12,GNAI2,GNAI3,GNAQ,MAPK1,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,RHOA,RHOBTB2,RHOH,RND1,S1PR5"
CXCR4 Signaling	2.76	0.246	-2.335	"ADCY2,ADCY3,ADCY5,AKT3,ARHGEF11,CDC42,CRK,ELMO2,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,MAPK1,MAPK10,MAPK8,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCB,PRKD1,PXN,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2"
Regulation of eIF4 and p70S6K Signaling	2.76	0.248	-1.964	"AGO1,AGO2,AGO3,AGO4,AKT3,EIF2B2,EIF3H,EIF3I,EIF3J,EIF3M,EIF4A1,EIF4E,EIF4G1,IRS1,ITGB1,MAPK1,MAPK14,NRAS,PAIP2,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RALA,RAP1A,RAP2B,RPS16,RPS24,RPS27A,SOS1"
Iron homeostasis signaling pathway	2.75	0.255	NaN	"ACO1,ARNT,ATP6AP1,ATP6V0C,ATP6V0D1,ATP6V0E2,ATP6V1C1,ATP6V1D,BMP10,BMP2,BMP3,BMPR2,CP,EGF,EGFR,FTL,HIF3A,HPX,HSPA9,IREB2,ISCU,JAK2,MAPK1,MMS19,PDGFA,PDGFB,PDGFRA,SLC46A1,SMAD1,SMAD2,SMAD3,SMAD5,STAT3,STAT5B,TMPRSS6"
FGF Signaling	2.74	0.286	-2.449	"AKT3,CREB1,CREB3,CREB5,CREBBP,CRK,FGF1,FGF13,FGF17,FGF2,FRS2,GAB1,MAP2K6,MAPK1,MAPK14,MAPK8,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RPS6KA5,SOS1,STAT3"
Endothelin-1 Signaling	2.74	0.239	-0.762	"ADCY2,ADCY3,ADCY5,CASP10,CASP5,CASP8,ECE2,EDN1,GAB1,GNA12,GNAI2,GNAI3,GNAQ,GUCY1A2,GUCY1B1,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,NAPEPLD,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PLCB1,PLCB4,PLD5,PRKCB,PRKD1,PTGS1,PTGS2,RALA,RAP1A,RAP2B,SHE,SOS1"
Renin-Angiotensin Signaling	2.71	0.263	-1.347	"ADCY2,ADCY3,ADCY5,GNAQ,JAK2,MAPK1,MAPK10,MAPK14,MAPK8,NOX1,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SHE,SOS1,STAT3"
HIPPO signaling	2.67	0.282	1.941	"AJUBA,CSNK1D,DLG2,DLG3,ITCH,PPP1CB,PPP1CC,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,SMAD1,SMAD2,SMAD3,SMAD5,TEAD1,TEAD3,TJP2,YAP1,YWHAG"
p70S6K Signaling	2.64	0.256	-1.257	"AKT3,CD79B,EGFR,F2RL1,GNAI2,GNAI3,GNAQ,IRS1,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,SYK,YWHAG"
Prolactin Signaling	2.61	0.284	-0.853	"CREBBP,IRS1,JAK2,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOCS6,SOCS7,SOS1,SP1,STAT3,STAT5B,TCF7"
3-phosphoinositide Degradation	2.6	0.245	1.48	"ACP1,CA3,DUSP15,DUSP16,DUSP5,EYA4,FIG4,G6PC2,HACD2,INPP4A,INPP4B,MTMR4,MTMR8,NT5C,OCRL,PAWR,PGAM5,PIKFYVE,PIP4P2,PLPP7,PPFIA1,PPFIA2,PPM1H,PPP1CC,PPP1R12C,PPP1R16B,PPP1R1A,PPP1R1B,PPP2R3A,PPP2R5B,PPP2R5E,PPTC7,PTEN,PTPN22,PTPRH,PTPRJ,RASA1,STYX"
Ephrin B Signaling	2.59	0.292	-2.84	"ACP1,CBL,CDC42,CFL2,CTNNB1,EFNB2,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,ITSN1,LIMK1,MAPK1,PXN,RHOA,ROCK1,ROCK2"
